epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6703,1.4893,2.47067,1.60231,0.05063,0.91111,0.32034,0.15325,1.60597,3.26743,1.51293,0.000327869,0.000327869,0.067541
2,42.1364,1.39263,1.6497,1.52608,0.93129,0.45155,0.6155,0.36531,1.46476,1.30683,1.43062,0.000644837,0.000644837,0.0345246
3,52.3331,1.38483,1.49835,1.5199,0.59446,0.39103,0.36622,0.16626,1.77712,1.47315,1.68243,0.000945306,0.000945306,0.00149175
4,62.5707,1.38124,1.43848,1.51268,0.407,0.63333,0.66019,0.32,1.98079,1.3696,1.69183,0.00092575,0.00092575,0.00092575
5,72.7278,1.35019,1.36273,1.49717,0.8449,0.8414,0.86996,0.45726,1.47741,0.98753,1.43983,0.000901,0.000901,0.000901
6,83.0157,1.32306,1.30677,1.47566,0.6794,0.76667,0.77604,0.41596,1.63329,0.96042,1.47875,0.00087625,0.00087625,0.00087625
7,93.2937,1.29139,1.27097,1.43693,0.57433,0.83998,0.81301,0.41398,1.5909,1.04827,1.4163,0.0008515,0.0008515,0.0008515
8,103.575,1.29336,1.24789,1.43518,0.79981,0.72413,0.76083,0.38282,1.73011,1.11774,1.4844,0.00082675,0.00082675,0.00082675
9,113.933,1.27498,1.23123,1.41938,0.75405,0.75652,0.85122,0.49181,1.77213,1.08232,1.57934,0.000802,0.000802,0.000802
10,124.435,1.25164,1.17359,1.41741,0.90832,0.84739,0.84068,0.39225,1.71865,0.90754,1.54727,0.00077725,0.00077725,0.00077725
11,135.085,1.2396,1.16409,1.40319,0.84728,0.78428,0.84132,0.51469,1.40342,0.89523,1.30412,0.0007525,0.0007525,0.0007525
12,145.753,1.23059,1.1448,1.39897,0.88594,0.59688,0.73163,0.45961,1.48365,0.91993,1.40048,0.00072775,0.00072775,0.00072775
13,156.366,1.18473,1.08671,1.36871,0.77757,0.86616,0.80968,0.51282,1.31344,0.75949,1.25091,0.000703,0.000703,0.000703
14,166.913,1.20009,1.05349,1.366,0.86176,0.79056,0.83111,0.46863,1.53191,0.78973,1.39437,0.00067825,0.00067825,0.00067825
15,177.416,1.17149,1.03289,1.35051,0.75053,0.97778,0.91083,0.49001,1.53974,0.77158,1.36754,0.0006535,0.0006535,0.0006535
16,187.948,1.17867,1.02978,1.36262,0.63023,0.97251,0.93206,0.53006,1.4213,0.93018,1.38874,0.00062875,0.00062875,0.00062875
17,198.473,1.16753,1.01648,1.35695,0.77339,0.96666,0.90861,0.52464,1.46322,0.75195,1.35108,0.000604,0.000604,0.000604
18,208.954,1.12579,0.98169,1.32259,0.6213,0.83714,0.91166,0.53634,1.52056,0.79664,1.39686,0.00057925,0.00057925,0.00057925
19,219.549,1.1582,0.95956,1.32746,0.87971,0.85829,0.95371,0.61698,1.30053,0.7663,1.26607,0.0005545,0.0005545,0.0005545
20,230.156,1.12643,0.96331,1.32375,0.92492,0.87978,0.92563,0.61688,1.16047,0.68184,1.2235,0.00052975,0.00052975,0.00052975
21,240.798,1.10929,0.94949,1.30225,0.8379,0.8745,0.9241,0.60419,1.28049,0.7034,1.23449,0.000505,0.000505,0.000505
22,251.409,1.09091,0.92668,1.2957,0.83091,0.87778,0.86066,0.59485,1.18443,0.74913,1.24911,0.00048025,0.00048025,0.00048025
23,261.946,1.0901,0.9085,1.29487,0.86728,0.92531,0.9354,0.62984,1.19962,0.67851,1.24571,0.0004555,0.0004555,0.0004555
